,CITY,LAT,LON
0,TOULON,43.1257311,5.9304919
1,VALENCE TGV RHONE ALPES SUD,44.9332277,4.8920810999999995
2,AIX EN PROVENCE TGV,43.4551451,5.3172873
3,AVIGNON TGV,43.92178320000001,4.786072
4,MONTPELLIER SAINT ROCH,43.6048582,3.8806159
5,LYON (gares intramuros),45.6963425,4.73594802991681
6,NARBONNE,43.1837661,3.0042121
7,NIMES,43.8374249,4.3600687
8,SETE,43.4014434,3.6959771
9,GRENOBLE,45.1875602,5.7357819
10,LYON ST EXUPERY,45.7245365,5.0865007555542405
11,MACON LOCHE TGV,46.28291220000001,4.7788492
12,BOURG EN BRESSE,46.20511920000001,5.2250324
13,PARIS (intramuros),48.85661010000001,2.3514992
14,ARRAS,50.291047999999996,2.7772210999999998
15,LILLE FLANDRES,50.63626825,3.07104624821129
16,LILLE EUROPE,50.6393482,3.07537656374659
17,DOUAI,50.370368299999996,3.0761377
18,VALENCIENNES,50.3579317,3.5234845999999997
19,ROUBAIX,50.6915893,3.1741734
20,RANG DU FLIERS VERTON,50.4157602,1.6483742
21,ETAPLES LE TOUQUET,50.5168875,1.6423750980548502
22,DUNKERQUE,51.0347708,2.3772525
23,TOURCOING,50.723503799999996,3.1605714
24,CROIX WASQUEHAL,50.6787271,3.1380682999999996
25,LENS,50.4291723,2.8319805000000002
26,HAZEBROUCK,50.7226113,2.5360331
27,BETHUNE,50.5199,2.6478099999999998
28,LE MANS,48.00734979999999,0.1967379
29,LAVAL,48.07103770000001,-0.7723499
30,ST PIERRE DES CORPS,47.3898152,0.7189760999999999
31,TOURS,47.3900474,0.6889268
32,VENDOME VILLIERS SUR LOIR,47.8059045,0.9949158000000001
33,CHATELLERAULT,46.8180047,0.545812
34,POITIERS,46.58025960000001,0.340196
35,FUTUROSCOPE,46.669975799999996,0.377364785428929
36,SURGERES,46.1052715,-0.7511151999999999
37,BORDEAUX ST JEAN,44.8264016,-0.555906
38,ANGOULEME,45.651274799999996,0.1576745
39,LIBOURNE,44.9133742,-0.2427217
40,NANTES,47.2186371,-1.5541361999999999
41,ST NAZAIRE,47.2796,-2.20997
42,LA BAULE ESCOUBLAC,47.28437260000001,-2.3951595
43,ANGERS ST LAUD,47.4645375,-0.5568433431818149
44,STRASBOURG,48.584614,7.750712700000001
45,NANCY,48.6937223,6.1834097
46,ST DIE DES VOSGES,48.287315299999996,6.9477708
47,VITRY LE FRANCOIS GARE,48.717910499999995,4.5876081
48,CHAMPAGNE ARDENNE,48.873065999999994,4.20790995034171
49,BAR LE DUC,48.7712673,5.1623805
50,CHALONS EN CHAMPAGNE,48.9566218,4.3628851
51,Luxembourg,49.8158683,6.1296751
52,THIONVILLE,49.357927200000006,6.1675872000000025
53,MEUSE TGV,48.978795899999994,5.270841000000001
54,METZ VILLE,49.10898820000001,6.177341200000001
55,LA SOUTERRAINE,46.2383347,1.4861387
56,CORBIERES VIERZON VILLE,47.2217489,2.0691421
57,UZERCHE,45.4243315,1.5637278000000001
58,LIMOGES BENEDICTINS,45.83617879999999,1.2673941999999998
59,CHATEAUROUX,46.8047,1.6957098999999998
60,ARGENTON SUR CREUSE,46.5886822,1.5191028999999998
61,BANYULS SUR MER,42.4794084,3.1275892999999995
62,COLLIOURE,42.52505,3.0831554
63,TOULOUSE MATABIAU,43.61124570000001,1.4539572
64,ASSIER,44.6753004,1.8762866
65,CRANSAC,44.524725200000006,2.2810378
66,RODEZ,44.35162070000001,2.5728419
67,CORBIERES LES AUBRAIS ORLEANS,45.4810323,-75.5100002
68,LATOUR DE CAROL ENVEITG,42.4590748,1.90443125724581
69,MARSEILLE ST CHARLES,43.3032722,5.3811746
70,BEZIERS,43.3426562,3.2131307
71,CARCASSONNE,43.21303579999999,2.3491069
72,ARLES,43.6776223,4.6309653
73,AGEN,44.2015624,0.6176324000000001
74,MARMANDE,44.5007939,0.164274
75,MONTAUBAN VILLE BOURBON,44.01426179999999,1.3413016000000002
76,MARNE LA VALLEE CHESSY,48.8709592,2.7834886
77,TGV HAUTE PICARDIE,49.8591351,2.8322093
78,DIJON VILLE,47.32317929999999,5.0273864
79,MONTBARD,47.6241674,4.3373194
80,BESANCON Franche Comté TGV,47.3072669,5.9533257000000015
81,BELFORT MONTBELIARD TGV,47.5858672,6.8975497
82,AEROPORT CDG2 TGV ROISSY,49.004,2.57096
83,RENNES,48.11133870000001,-1.6800198
84,MASSY TGV,48.7258423,2.2613435
85,L'ARGENTIERE LES ECRINS (05),44.790943,6.5562694000000015
86,BRIANCON,44.8984037,6.643631299999999
87,RIOM CHATEL GUYON,45.8909808,3.12116265843795
88,VICHY,46.1239268,3.4203712
89,CLERMONT FERRAND,45.77745510000001,3.0819427000000004
90,NEVERS,46.9876601,3.1577203
91,MOULINS SUR ALLIER,46.5613152,3.3389447
92,ST RAPHAEL VALESCURE,43.4227763,6.770168400000001
93,ANTIBES,43.5836,7.10905
94,NICE VILLE,43.7048602,7.261761099999998
95,CANNES,43.5515198,7.013441800000002
96,MENTON,43.7753495,7.5029213000000015
97,LES ARCS DRAGUIGNAN,43.455613,6.482458900000001
98,ORANGE,43.5149254,5.426343604964711
99,VALENCE VILLE,44.9256878,4.8927957000000015
100,MONTELIMAR GARE SNCF,44.5579391,4.750318
101,AVIGNON CENTRE,43.941688,4.8052782
102,MIRAMAS,43.58273300000001,5.0025809
103,LE CREUSOT MONTCEAU MONTCHANIN,46.7653149,4.4995015
104,MULHOUSE VILLE,47.74177589999999,7.342934
105,DOLE VILLE,47.0962085,5.4880293
106,BESANCON VIOTTE,47.2470171,6.021866200000002
107,ANNECY,45.88975045,6.135465100226001
108,AIX LES BAINS LE REVARD,45.688138,5.9089276
109,CALAIS FRETHUN,50.901963,1.811434
110,BOULOGNE VILLE,50.7154446,1.6102281
111,ST MAIXENT DEUX SEVRES,46.406465,-0.2012643
112,NIORT,46.3239455,-0.4645212
113,LA ROCHELLE VILLE,46.1525774,-1.1453062
114,TARBES,43.232858,0.07810210000000001
115,PAU,43.2957547,-0.3685668
116,BREST,48.3905283,-4.4860088
117,ST BRIEUC,48.5141594,-2.7602707000000004
118,VANNES,47.65867720000001,-2.7599079
119,LA ROCHE SUR YON,46.6705431,-1.4269698
120,LUNEVILLE,48.5916164,6.491956299999999
121,SAVERNE,48.7419909,7.3625953
122,ISSOUDUN,46.9477826,1.9889131
123,BRIVE LA GAILLARDE,45.1584982,1.5332389
124,GOURDON,44.737024,1.3820575000000002
125,CAHORS,44.4495,1.4364999
126,CAUSSADE TARN ET GARONNE,44.1608142,1.5365375
127,SOUILLAC,44.89801720000001,1.46943
128,LEZIGNAN,43.0988008,-0.003562
129,PERPIGNAN,42.6985304,2.8953121
130,CASTELNAUDARY,43.3192021,1.9533495
131,PORT VENDRES VILLE,42.51349310000001,3.1026058
132,GRAMAT,44.7789948,1.723394
133,MONTPELLIER SUD DE FRANCE,43.5951319,3.9252509
134,SAUMUR,47.25417435,-0.0661853886972667
135,LORRAINE TGV,48.9473482,6.1697932999999985
136,FIGEAC,44.6092335,2.0324321
137,VIVIEZ DECAZEVILLE,44.55556915,2.21825837547816
138,MONTDAUPHIN GUILLESTRE,44.6745991,6.615511200000001
139,REIMS,49.2577886,4.031926
140,RETHEL,49.50914470000001,4.3666467
141,CHARLEVILLE MEZIERES,49.773571200000006,4.7206939000000006
142,SEDAN,49.7033759,4.943340900000001
143,ELNE,42.6015895,2.9703352
144,ARGELES SUR MER,42.5490447,3.0300793
145,CAPDENAC,44.5819409,2.04824436240331
146,ST CHRISTOPHE,44.9576485,6.1763805
147,LANDERNEAU,48.45148029999999,-4.2557901
148,LE CROISIC,47.2933971,-2.5094404
149,PORNICHET,47.26132929999999,-2.3364238
150,LES SABLES D'OLONNE,46.4990505,-1.7767859
151,REMIREMONT,48.0158951,6.591261500000001
152,AUTERIVE,43.35083710000001,1.4770215
153,PORTE PUYMORENS,42.548887799999996,1.833462
154,AX LES THERMES,42.719734100000004,1.8379765
155,FOIX,42.96389979999999,1.6053807
156,DIE,47.3891206,0.6941880490771539
157,ST DENIS PRES MARTEL,44.9373274,1.6096276000000003
158,TARASCON SUR ARIEGE,42.8458016,1.6067586
159,ANDORRE,42.540716700000004,1.5732033
160,JUVISY TGV,48.689406899999994,2.38296173457833
161,CHORGES,44.545083700000006,6.2754560999999995
162,EMBRUN,44.56424570000001,6.4957085
163,VEYNES DEVOLUY,44.5318002,5.8159479
164,THONON LES BAINS,46.3731303,6.4779448
165,MACON VILLE,46.3027953,4.8250128
166,CHALON SUR SAONE,46.7888997,4.8529605
167,COLMAR,48.0777517,7.3579641
168,CERBERE,42.4412951,3.1646952
169,CREST,44.7282675,5.0236641
170,LES CABANNES,44.7748803,1.0597529
171,DOL DE BRETAGNE,48.5489772,-1.7521005
172,ST MALO,48.6454528,-2.015418
173,LAMBALLE,48.4622954,-2.53859202171857
174,MORLAIX,48.5824932,-3.8331972
175,GUINGAMP,48.5618483,-3.1502007
176,PLOUARET TREGOR,48.6062088,-3.4667489
177,QUIMPER,47.9960325,-4.1024782
178,AURAY,47.6664485,-2.9833718
179,LORIENT,47.7477336,-3.3660907
180,REDON,47.6571027,-2.0824145
181,SABLE,47.8399,-0.334133
182,SARREBOURG,48.734239,7.0557352
183,SAVERDUN,43.2337077,1.575594
184,LUZENAC GARANOU,42.7644237,1.7530882
185,MERENS LES VALS,42.6586911,1.8371515
186,PAMIERS,43.1147515,1.6082177
187,LUC EN DIOIS,44.6152,5.4517754
188,HYERES,43.1202573,6.1301614
189,CHAMBERY CHALLES LES EAUX,45.5714337,5.9198702
190,EPINAL,48.1747684,6.4503643
191,AUBIN,44.5277,2.24597
192,ROUEN RIVE DROITE,49.4490102,1.0941554
193,LE HAVRE,49.4938975,0.1079732
194,MANTES LA JOLIE,48.9891971,1.7140683
195,VERSAILLES CHANTIERS,48.7954702,2.1355157
196,GAP,44.5611978,6.0820018
197,AGDE,43.3134787,3.4771629
198,HENDAYE,43.3641518,-1.7616499
199,ST JEAN DE LUZ CIBOURE,43.3857208,-1.6610392
200,BIARRITZ,43.4832523,-1.5592776
201,BAYONNE,43.4933379,-1.475099
202,DAX,43.7080596,-1.0533076
203,QUIMPERLE,47.8690062,-3.5516222
204,SELESTAT,48.2594396,7.454217
205,ROCAMADOUR PADIRAC,44.8183581,1.6573498
206,BEAUNE,47.0239064,4.8380426
207,CALAIS VILLE,50.9534402,1.85062678314917
208,ORTHEZ,43.4874963,-0.7738363
209,ST JEAN DE MAURIENNE ARVAN,45.2779151,6.3544141
210,MODANE,45.2015369,6.6728169
211,FRASNE,46.8570466,6.1617717
212,BELLEGARDE,43.7577935,4.5158713
213,MASSY PALAISEAU,48.7251803,2.2598757
214,MONACO MONTE CARLO,43.738234,7.4195921
215,VITRE,48.1244503,-1.214331
